airport_code,airport_name,latitude,longitude
AAA,Anaa Airport,-17.3526,-145.51
AAB,Arrabury Airport,-26.693,141.048
AAC,El Arish International Airport,31.0733,33.8358
AAD,Adado Airport,6.0958,46.6375
AAE,Rabah Bitat Airport (Les Salines Airport),36.8222,7.80917
AAF,Apalachicola Regional Airport,29.7275,-85.0275
AAG,Avelino Vieira Airport,-24.1039,-49.7891
AAH,Merzbruck Airport,50.8231,6.18639
AAI,Arraias Airport,-13.0252,-46.8841
AAJ,Cayana Airstrip,3.89868,-55.5779
AAK,Aranuka Airport,0.185278,173.637
AAL,Aalborg Airport,57.0928,9.84924
AAM,Mala Mala Airport,-24.8181,31.5446
AAN,Al Ain International Airport,24.2617,55.6092
AAO,Anaco Airport,9.43023,-64.4707
AAP,APT Pranoto International Airport,-0.374448,117.249
AAQ,Anapa Airport,45.0021,37.3473
AAR,Aarhus Airport,56.3,10.619
AAS,Apalapsili Airport,-3.8832,139.311
AAT,Altay Airport,47.7499,88.0858
AAU,Asau Airport,-13.5051,-172.628
AAV,Allah Valley Airport,6.36682,124.751
AAX,Araxa Airport,-19.5632,-46.9604
AAY,Al Ghaydah Airport,16.1917,52.175
AAZ,Quetzaltenango Airport,14.8656,-91.502
ABA,Abakan International Airport,53.74,91.385
ABB,Asaba International Airport,6.20417,6.66528
ABC,Albacete Airport,38.9485,-1.86352
ABD,Abadan International Airport,30.3711,48.2283
ABE,Lehigh Valley International Airport,40.6521,-75.4408
ABF,Abaiang Atoll Airport,1.79861,173.041
ABG,Abingdon Airport,-17.6167,143.167
ABH,Alpha Airport,-23.6461,146.584
ABI,Abilene Regional Airport,32.4113,-99.6819
ABJ,Port Bouet Airport (Felix Houphouet Boigny Int'l),5.26139,-3.92629
ABK,Kabri Dar Airport,6.734,44.253
ABL,Ambler Airport,67.1063,-157.857
ABM,Northern Peninsula Airport,-10.9508,142.459
ABN,Albina Airstrip,5.51272,-54.0501
ABO,Aboisso Airport,5.46194,-3.23472
ABP,Atkamba Airport,-6.06556,141.095
ABQ,Albuquerque International Sunport,35.0402,-106.609
ABR,Aberdeen Regional Airport,45.4491,-98.4218
ABS,Abu Simbel Airport,22.376,31.6117
ABT,Al-Baha Domestic Airport,20.2961,41.6343
ABU,A.A. Bere Tallo Airport,-9.07305,124.905
ABV,Nnamdi Azikiwe International Airport,9.00679,7.26317
ABW,Abau Airport,-10.1956,148.739
ABX,Albury Airport,-36.0678,146.958
ABY,Southwest Georgia Regional Airport,31.5355,-84.1945
ABZ,Aberdeen Airport,57.2019,-2.19778
ACA,General Juan N. Alvarez International Airport,16.7571,-99.754
ACB,Antrim County Airport,44.9886,-85.1984
ACC,Kotoka International Airport,5.60519,-0.166786
ACD,Alcides Fernandez Airport,8.51667,-77.3
ACE,Lanzarote Airport,28.9455,-13.6052
ACH,St. Gallen-Altenrhein Airport,47.485,9.56077
ACI,Alderney Airport,49.7067,-2.21444
ACJ,Anuradhapura Airport,8.30149,80.4279
ACK,Nantucket Memorial Airport,41.2531,-70.0602
ACL,Aguaclara Airport,4.75361,-73.0028
ACM,Arica Airport (Colombia),-2.14544,-71.7581
ACN,Ciudad Acuna International Airport,29.3329,-101.099
ACP,Sahand Airport,37.348,46.1279
ACR,Araracuara Airport,-0.5833,-72.4083
ACS,Achinsk Airport,56.2683,90.5708
ACT,Waco Regional Airport,31.6113,-97.2305
ACU,Achutupo Airport,8.43166,-77.9652
ACV,Arcata-Eureka Airport,40.9781,-124.109
ACX,Xingyi Wanfenglin Airport,25.0864,104.959
ACY,Atlantic City International Airport,39.4576,-74.5772
ACZ,Zabol Airport,31.0983,61.5439
ADA,Adana Sakirpasa Airport,36.9822,35.2804
