Plane ID,Flight Date,Departure Airport,Arrival Airport,Flight Distance,Flight Time,Fuel Used
N1980K,,,,,,
N1980K,07/09/2023,lax,bri,,12 hours17 minutes,
N1980K,07/31/2023,lax,nap,,12 hours8 minutes,"6,100 gallons"
N1980K,02/24/2023,cma,lin,,11 hours24 minutes,170 gallons
N1980K,08/06/2023,goa,qlt,,11 hours18 minutes,"5,700 gallons"
N1980K,07/26/2023,kix,san,,11 hours14 minutes,"5,600 gallons"
N1980K,06/07/2023,sxf,cma,,11 hours11 minutes,"5,600 gallons"
N1980K,06/06/2023,cma,sxf,,11 hours10 minutes,"5,600 gallons"
N1980K,01/22/2023,cma,lbg,,,"5,500 gallons"
N1980K,03/04/2024,cdg,cma,,10 hours53 minutes,"5,400 gallons"
N1980K,02/24/2024,cma,cdg,,10 hours53 minutes,"5,400 gallons"
N1980K,,lbg,vny,,10 hours53 minutes,"5,400 gallons"
N1980K,02/26/2024,cdg,vny,,10 hours52 minutes,"5,400 gallons"
N1980K,01/28/2024,cdg,vny,,10 hours52 minutes,"5,400 gallons"
N1980K,01/25/2024,cdg,cma,,10 hours47 minutes,"5,400 gallons"
N1980K,08/26/2023,kix,cma,,10 hours40 minutes,"5,300 gallons"
N1980K,04/04/2023,kix,cma,,10 hours40 minutes,"5,300 gallons"
N1980K,01/27/2024,cma,cdg,,10 hours37 minutes,"5,300 gallons"
N1980K,07/10/2023,bri,qlt,,10 hours23 minutes,"5,200 gallons"
N1980K,03/27/2023,cma,nrt,,10 hours23 minutes,"5,200 gallons"
N1980K,03/16/2023,vny,ltn,,10 hours15 minutes,"5,100 gallons"
N1980K,07/23/2023,cma,nrt,,10 hours9 minutes,"5,100 gallons"
N1980K,06/21/2023,lbg,,,9 hours41 minutes,"4,800 gallons"
N1980K,03/02/2024,vny,cdg,,9 hours35 minutes,"4,800 gallons"
N1980K,08/20/2023,cma,nrt,,9 hours29 minutes,"4,700 gallons"
N1980K,01/25/2024,msy,cdg,,9 hours3 minutes,"4,500 gallons"
N1980K,06/21/2023,lbg,teb,,,"4,500 gallons"
N1980K,01/27/2023,lbg,pls,,8 hours21 minutes,"4,200 gallons"
N1980K,,ewr,ham,,8 hours8 minutes,"4,100 gallons"
N1980K,02/27/2023,auh,kef,,7 hours38 minutes,"3,800 gallons"
N1980K,08/17/2023,pbi,cma,,7 hours37 minutes,"3,800 gallons"
N1980K,10/24/2023,sav,cma,,7 hours34 minutes,"3,800 gallons"
N1980K,07/13/2023,teb,cma,,7 hours27 minutes,"3,700 gallons"
N1980K,02/27/2023,kef,kef,,7 hours27 minutes,"3,700 gallons"
N1980K,04/30/2023,cma,teb,,7 hours20 minutes,"3,700 gallons"
N1980K,05/08/2023,cma,mhh,,7 hours19 minutes,"3,700 gallons"
N1980K,07/03/2023,coe,teb,,7 hours16 minutes,"3,600 gallons"
N1980K,05/08/2024,ham,ewr,,7 hours9 minutes,"3,600 gallons"
N1980K,09/30/2023,cdg,acy,,6 hours55 minutes,"3,500 gallons"
N1980K,09/28/2023,teb,cdg,,6 hours50 minutes,"3,400 gallons"
N1980K,06/20/2023,teb,lbg,,6 hours48 minutes,"3,400 gallons"
N1980K,05/13/2024,cma,teb,,6 hours47 minutes,"3,400 gallons"
N1980K,01/20/2023,bos,cma,,6 hours38 minutes,"3,300 gallons"
N1980K,05/06/2024,lax,ewr,,6 hours37 minutes,"3,300 gallons"
N1980K,01/18/2023,cma,teb,,6 hours34 minutes,"3,300 gallons"
N1980K,04/27/2023,teb,cma,,6 hours30 minutes,"3,300 gallons"
N1980K,01/06/2023,yyz,vny,,6 hours30 minutes,"3,300 gallons"
N1980K,05/25/2024,cma,teb,,6 hours28 minutes,"3,200 gallons"
N1980K,04/25/2024,cma,teb,,6 hours27 minutes,"3,200 gallons"
N1980K,04/05/2024,cma,pls,,6 hours9 minutes,"3,100 gallons"
N1980K,09/11/2023,cma,teb,,6 hours6 minutes,"3,100 gallons"
N1980K,09/28/2023,cma,teb,,6 hours4 minutes,"3,000 gallons"
N1980K,01/28/2023,pls,cma,,6 hours4 minutes,"3,000 gallons"
N1980K,05/09/2024,ewr,cma,,5 hours59 minutes,"3,000 gallons"
N1980K,05/15/2023,cma,teb,,5 hours49 minutes,"2,900 gallons"
N1980K,02/26/2023,lin,qlt,,5 hours47 minutes,"2,600 gallons"
N1980K,05/10/2023,mhh,wtd,,5 hours44 minutes,"2,900 gallons"
N1980K,07/22/2023,opf,cma,,5 hours42 minutes,"2,900 gallons"
N1980K,05/29/2023,cma,teb,,5 hours42 minutes,"2,900 gallons"
N1980K,06/24/2023,teb,cma,,5 hours40 minutes,"2,800 gallons"
N1980K,04/07/2024,pls,cma,,5 hours38 minutes,"2,800 gallons"
N1980K,04/25/2023,cma,teb,,5 hours24 minutes,"2,700 gallons"
N1980K,10/03/2023,teb,cma,,5 hours22 minutes,"2,700 gallons"
N1980K,06/17/2023,vny,teb,,5 hours18 minutes,"2,700 gallons"
N1980K,07/21/2023,cma,opf,,5 hours15 minutes,"2,600 gallons"
N1980K,05/20/2023,cma,teb,,5 hours14 minutes,"2,600 gallons"
N1980K,05/06/2023,teb,cma,,5 hours13 minutes,500 gallons
N1980K,05/26/2024,teb,trm,,5 hours12 minutes,"2,600 gallons"
N1980K,01/15/2023,yyz,cma,,5 hours6 minutes,"2,600 gallons"
N1980K,05/03/2023,teb,vny,,5 hours5 minutes,500 gallons
N1980K,,vny,teb,,4 hours57 minutes,500 gallons
N1980K,01/09/2023,yyz,cma,,4 hours56 minutes,"2,500 gallons"
N1980K,01/13/2024,teb,cma,,4 hours55 minutes,"2,600 gallons"
N1980K,05/15/2024,teb,cma,,4 hours51 minutes,"2,400 gallons"
N1980K,08/16/2023,cma,pbi,,4 hours50 minutes,"2,400 gallons"
N1980K,05/05/2024,teb,cma,,4 hours48 minutes,"2,400 gallons"
N1980K,01/07/2023,cma,yyz,,4 hours46 minutes,"2,400 gallons"
N1980K,01/06/2023,cma,yyz,,4 hours46 minutes,"2,400 gallons"
N1980K,06/02/2023,teb,cma,,4 hours43 minutes,"2,400 gallons"
N1980K,12/26/2023,cma,teb,,4 hours38 minutes,"2,300 gallons"
N1980K,05/04/2024,cma,teb,,4 hours37 minutes,"2,300 gallons"
N1980K,05/17/2023,teb,cma,,4 hours36 minutes,"2,300 gallons"
N1980K,10/03/2023,cma,sav,,4 hours33 minutes,"2,300 gallons"
N1980K,12/29/2023,teb,cma,,4 hours30 minutes,"2,300 gallons"
N1980K,01/07/2024,cma,teb,,4 hours26 minutes,"2,400 gallons"
N1980K,09/13/2023,teb,cma,,4 hours24 minutes,"2,300 gallons"
N1980K,07/04/2023,fok,coe,,4 hours22 minutes,"2,200 gallons"
N1980K,05/27/2023,teb,cma,,4 hours19 minutes,"2,200 gallons"
N1980K,04/26/2024,iad,cma,,4 hours10 minutes,"2,100 gallons"
N1980K,09/03/2023,sav,cma,,3 hours50 minutes,"1,900 gallons"
N1980K,09/01/2023,cma,atl,,3 hours50 minutes,"1,900 gallons"
N1980K,01/13/2023,cma,yyz,,3 hours47 minutes,"1,900 gallons"
N1980K,01/24/2024,cma,msy,,3 hours11 minutes,"1,600 gallons"
N1980K,06/30/2023,ftw,cma,,3 hours9 minutes,"1,600 gallons"
N1980K,06/26/2023,cma,ftw,,2 hours39 minutes,"1,300 gallons"
N1980K,07/07/2023,coe,cma,,2 hours35 minutes,"1,300 gallons"
N1980K,08/08/2023,cma,coe,,2 hours25 minutes,"1,200 gallons"
N1980K,01/19/2023,lck,bos,,2 hours25 minutes,"1,200 gallons"
N1980K,05/18/2023,cma,apa,,2 hours20 minutes,"1,200 gallons"
N1980K,07/08/2023,cma,coe,,2 hours17 minutes,"1,100 gallons"
N1980K,07/02/2023,cma,coe,,2 hours17 minutes,"1,100 gallons"
N1980K,05/19/2023,apa,cma,,2 hours17 minutes,"1,100 gallons"
N1980K,07/08/2023,coe,lax,,2 hours16 minutes,"1,100 gallons"
N1980K,08/12/2023,coe,cma,,2 hours10 minutes,"1,100 gallons"
N1980K,04/12/2023,bzn,cma,,2 hours5 minutes,"1,000 gallons"
N1980K,08/18/2023,coe,cma,,,"1,000 gallons"
N1980K,07/11/2023,opf,teb,,,"1,000 gallons"
N1980K,01/11/2023,cma,cec,,1 hour59 minutes,990 gallons
N1980K,04/17/2023,vny,trm,,1 hour56 minutes,970 gallons
N1980K,04/10/2023,cma,bzn,,1 hour50 minutes,920 gallons
N1980K,04/03/2023,nrt,kix,,1 hour47 minutes,890 gallons
N1980K,08/18/2023,cma,coe,,1 hour43 minutes,860 gallons
N1980K,01/19/2023,teb,lck,,1 hour37 minutes,810 gallons
N1980K,01/02/2024,slc,cma,,1 hour36 minutes,800 gallons
N1980K,01/18/2023,teb,phl,,1 hour34 minutes,780 gallons
N1980K,04/16/2023,cma,las,,1 hour30 minutes,750 gallons
N1980K,05/27/2024,trm,vny,,1 hour25 minutes,710 gallons
N1980K,01/19/2023,phl,teb,,1 hour22 minutes,680 gallons
N1980K,09/03/2023,atl,sav,,1 hour19 minutes,660 gallons
N1980K,12/30/2023,cma,slc,,1 hour15 minutes,630 gallons
N1980K,02/13/2023,gyr,cma,,1 hour14 minutes,620 gallons
N1980K,05/26/2023,teb,cle,,1 hour11 minutes,590 gallons
N1980K,04/22/2023,cma,las,,1 hour9 minutes,580 gallons
N1980K,06/20/2023,lbg,,,1 hour8 minutes,570 gallons
N1980K,04/05/2023,trm,cma,,1 hour8 minutes,570 gallons
N1980K,08/06/2023,cta,qlt,,1 hour7 minutes,560 gallons
N1980K,04/09/2023,trm,cma,,1 hour7 minutes,560 gallons
N1980K,05/21/2023,teb,cle,,1 hour6 minutes,550 gallons
N1980K,01/12/2023,cec,cma,,1 hour6 minutes,550 gallons
N1980K,05/26/2023,cle,teb,,1 hour5 minutes,540 gallons
N1980K,04/17/2023,trm,cma,,1 hour5 minutes,540 gallons
N1980K,02/12/2024,phx,cma,,1 hour4 minutes,530 gallons
N1980K,04/09/2023,trm,cma,,1 hour4 minutes,530 gallons
N1980K,02/18/2023,las,cma,,1 hour4 minutes,530 gallons
N1980K,04/25/2024,teb,iad,,1 hour2 minutes,520 gallons
N1980K,02/09/2024,vny,mae,,1 hour2 minutes,520 gallons
N1980K,08/06/2023,dbv,dbv,,1 hour2 minutes,520 gallons
N1980K,05/22/2023,cle,teb,,1 hour2 minutes,520 gallons
N1980K,02/12/2024,vny,las,,,510 gallons
N1980K,07/03/2023,teb,fok,,60 minutes,500 gallons
N1980K,04/14/2023,trm,cma,,60 minutes,500 gallons
N1980K,04/05/2023,cma,trm,,60 minutes,500 gallons
N1980K,07/26/2023,san,cma,,59 minutes,490 gallons
N1980K,,acy,teb,,58 minutes,270 gallons
N1980K,08/24/2023,nrt,kix,,58 minutes,480 gallons
N1980K,08/01/2023,nap,qlt,,58 minutes,480 gallons
N1980K,04/30/2023,las,cma,,58 minutes,480 gallons
N1980K,04/23/2023,las,cma,,58 minutes,480 gallons
N1980K,03/23/2024,vny,cma,,57 minutes,480 gallons
N1980K,03/18/2023,ltn,lbg,,57 minutes,480 gallons
N1980K,02/09/2024,mae,vny,,56 minutes,470 gallons
N1980K,12/15/2023,las,cma,,56 minutes,470 gallons
N1980K,,vny,cma,,56 minutes,470 gallons
N1980K,02/02/2023,trm,cma,,56 minutes,470 gallons
N1980K,02/12/2024,las,vny,,55 minutes,460 gallons
N1980K,04/16/2023,las,cma,,54 minutes,450 gallons
N1980K,04/06/2023,cma,trm,,54 minutes,450 gallons
N1980K,05/06/2024,cma,lax,,53 minutes,440 gallons
N1980K,02/12/2024,cma,phx,,53 minutes,440 gallons
N1980K,02/10/2024,vny,las,,53 minutes,440 gallons
N1980K,12/14/2023,vny,las,,53 minutes,440 gallons
N1980K,04/30/2023,cma,vny,,53 minutes,440 gallons
N1980K,04/16/2023,cma,vny,,53 minutes,440 gallons
N1980K,01/07/2023,vny,cma,,53 minutes,440 gallons
N1980K,03/02/2024,cma,vny,,52 minutes,430 gallons
N1980K,03/31/2024,trm,cma,,51 minutes,430 gallons
N1980K,12/14/2023,las,cma,,51 minutes,430 gallons
N1980K,02/28/2023,vny,cma,,51 minutes,430 gallons
N1980K,03/29/2024,cma,trm,,50 minutes,420 gallons
N1980K,04/17/2023,cma,vny,,50 minutes,420 gallons
N1980K,04/09/2023,cma,trm,,50 minutes,420 gallons
N1980K,02/01/2024,vny,cma,,49 minutes,410 gallons
N1980K,01/28/2024,vny,cma,,49 minutes,410 gallons
N1980K,,dbv,dbv,,49 minutes,290 gallons
N1980K,03/10/2024,cma,vny,,48 minutes,400 gallons
N1980K,02/12/2024,las,cma,,48 minutes,400 gallons
N1980K,02/09/2024,cma,vny,,48 minutes,400 gallons
N1980K,01/29/2024,cma,vny,,48 minutes,400 gallons
N1980K,07/25/2023,nrt,kix,,48 minutes,400 gallons
N1980K,,cma,vny,,48 minutes,400 gallons
N1980K,02/12/2023,cma,gyr,,48 minutes,400 gallons
N1980K,06/12/2023,cma,vny,,46 minutes,380 gallons
N1980K,12/15/2023,cma,las,,45 minutes,380 gallons
N1980K,04/16/2023,vny,cma,,45 minutes,380 gallons
N1980K,04/14/2023,cma,trm,,45 minutes,380 gallons
N1980K,02/18/2023,cma,las,,45 minutes,380 gallons
N1980K,02/02/2023,cma,trm,,45 minutes,380 gallons
N1980K,02/26/2024,vny,cma,,44 minutes,370 gallons
N1980K,12/13/2023,cma,vny,,44 minutes,370 gallons
N1980K,07/31/2023,vny,lax,,44 minutes,370 gallons
N1980K,07/27/2023,cma,vny,,44 minutes,370 gallons
N1980K,04/30/2023,vny,las,,43 minutes,360 gallons
N1980K,,bri,qlt,,32 minutes,270 gallons
N1980K,,,,,,
N5MV,,,,,,
N5MV,03/10/2024,pbi,ltn,"9 hours16 minutesMichael Bloombergtravels in aDassault Falcon 900personal plane that with a cruising speed of more than 580 mph, has a range of close to 4,900 miles","9 hours16 minutesMichael Bloombergtravels in aDassault Falcon 900personal plane that with a cruising speed of more than 580 mph, has a range of close to 4,900 miles and can remain airbone for nine hours",
N5MV,03/19/2024,mmu,qlt,,9 hours2 minutes,"2,700 gallons"
N5MV,01/16/2023,pbi,zrh,,8 hours31 minutes,"2,600 gallons"
N5MV,04/18/2024,lga,ltn,,8 hours22 minutes,"2,500 gallons"
N5MV,03/26/2023,pbi,snn,,8 hours10 minutes,"2,500 gallons"
N5MV,03/21/2024,qlt,olb,,8 hours6 minutes,"2,500 gallons"
N5MV,04/22/2024,ltn,lga,,7 hours54 minutes,"2,400 gallons"
N5MV,09/15/2023,hnl,den,,7 hours40 minutes,"2,300 gallons"
N5MV,03/15/2024,ltn,mmu,,7 hours29 minutes,"2,300 gallons"
N5MV,01/20/2023,zrh,zrh,,7 hours21 minutes,"2,200 gallons"
N5MV,11/02/2023,ltn,lga,,7 hours16 minutes,"2,500 gallons"
N5MV,12/08/2023,gru,gru,,7 hours4 minutes,"2,100 gallons"
N5MV,10/18/2023,sfo,hpn,,6 hours45 minutes,"2,000 gallons"
N5MV,03/31/2023,ltn,mmu,,6 hours38 minutes,"2,000 gallons"
N5MV,03/27/2024,hnd,anc,,6 hours36 minutes,"2,000 gallons"
N5MV,06/15/2023,mad,bcn,,6 hours35 minutes,"2,000 gallons"
N5MV,02/05/2023,bon,mmu,,6 hours30 minutes,"2,000 gallons"
N5MV,12/06/2023,lga,bgi,,6 hours20 minutes,"1,900 gallons"
N5MV,10/29/2023,lga,ltn,,6 hours20 minutes,"1,900 gallons"
N5MV,05/08/2024,hpn,sfo,,6 hours11 minutes,"1,900 gallons"
N5MV,03/27/2024,sin,hnd,,6 hours8 minutes,"1,900 gallons"
N5MV,06/11/2023,lga,ltn,,5 hours59 minutes,"1,800 gallons"
N5MV,03/02/2023,sba,pbi,,5 hours57 minutes,"1,800 gallons"
N5MV,09/08/2023,den,hnl,,5 hours50 minutes,"1,800 gallons"
N5MV,10/06/2023,lga,mry,,5 hours46 minutes,"1,700 gallons"
N5MV,03/06/2023,sba,mmu,,5 hours43 minutes,"1,700 gallons"
N5MV,03/27/2024,anc,yow,,5 hours40 minutes,"1,700 gallons"
N5MV,05/11/2024,sfo,mmu,,5 hours26 minutes,"1,600 gallons"
N5MV,03/05/2023,pbi,sba,,5 hours21 minutes,"1,600 gallons"
N5MV,10/15/2023,mmu,mry,,5 hours7 minutes,"1,600 gallons"
N5MV,10/10/2023,ont,mmu,,5 hours5 minutes,"1,500 gallons"
N5MV,10/07/2023,hpn,lax,,4 hours58 minutes,"1,500 gallons"
N5MV,04/02/2023,ril,mmu,,4 hours43 minutes,"1,400 gallons"
N5MV,12/08/2023,bgi,bgi,,4 hours42 minutes,"1,400 gallons"
N5MV,12/26/2023,mmu,skb,,4 hours40 minutes,"1,400 gallons"
N5MV,12/23/2023,ril,mmu,,4 hours39 minutes,"1,400 gallons"
N5MV,03/01/2023,mmu,sba,,4 hours36 minutes,"1,400 gallons"
N5MV,03/21/2024,blr,bom,,4 hours35 minutes,"1,400 gallons"
N5MV,12/06/2023,bgi,bgi,,4 hours33 minutes,"1,400 gallons"
N5MV,10/06/2023,mry,hpn,,4 hours31 minutes,"1,400 gallons"
N5MV,04/23/2023,stt,stt,,4 hours26 minutes,"1,300 gallons"
N5MV,03/20/2023,anu,mmu,,4 hours26 minutes,"1,300 gallons"
N5MV,12/03/2023,hpn,stt,,4 hours19 minutes,"1,300 gallons"
N5MV,08/07/2023,ril,lga,,4 hours19 minutes,"1,300 gallons"
N5MV,04/01/2023,stt,stt,,4 hours14 minutes,"1,300 gallons"
N5MV,01/02/2024,skb,skb,,4 hours13 minutes,"1,300 gallons"
N5MV,07/24/2023,hpn,ril,,4 hours12 minutes,"1,300 gallons"
N5MV,,ase,mmu,,4 hours7 minutes,"1,200 gallons"
N5MV,02/04/2023,hpn,bon,,4 hours7 minutes,"1,200 gallons"
N5MV,12/16/2023,lga,ril,,4 hours2 minutes,"1,200 gallons"
N5MV,01/28/2023,mmu,bon,,3 hours58 minutes,"1,200 gallons"
