celebrity_id,celebrity_name,celebrity_classification
1,Alex Rodriquez,Sports
2,Bill Gates,Business
3,Blake Shelton,Entertainment
4,Caesars Palace Casino,Business
5,Dan Bilzerian,Entertainment
6,David Geffen,Entertainment
7,Donald Trump,Politics
8,Dr. Phil,Entertainment
9,Drake,Entertainment
10,Elon Musk,Business
11,Elton John ,Entertainment
12,Eric Schmidt,Business
13,Floyd Mayweather,Sports
14,George Lucas,Entertainment
15,Google,Business
16,Harrison Ford,Entertainment
17,Jay Z,Entertainment
18,Jeff Bezos,Business
19,Jerry Jones,Sports
20,Jim Carrey,Entertainment
21,Judge Judy,Entertainment
22,Kenny Chesney,Entertainment
23,Kid Rock,Entertainment
24,Kim Kardashian,Entertainment
25,Kylie Jenner,Entertainment
26,Lady Gaga,Entertainment
27,Larry Ellison,Business
28,Luke Bryan,Entertainment
29,Marc Benioff,Business
30,Mark Cuban,Business
31,Mark Wahlburg,Entertainment
32,Mark Zuckerberg,Business
33,Matt Damon,Entertainment
34,Michael Bloomberg,Business
35,Michael Jordan,Sports
36,Nike Corporation,Business
37,Oprah Winfrey,Entertainment
38,P. Diddy,Entertainment
39,Peter Thiel,Business
40,Phil Knight,Business
41,Playboy Corporation,Business
42,Ron DeSantis,Politics
43,Ronald Perelman,Business
44,Rupert Murdoch,Business
45,Sergey Brin,Business
46,Steve Ballmer,Business
47,Steve Wynn,Business
48,Steven Spielberg,Entertainment
49,Taylor Swift,Entertainment
50,Tom Cruise,Entertainment
51,Tommy Hilfiger,Business
52,Travis Scott,Entertainment
53,Under Armour Corporation,Business
