dep_airport,arr_airport,dep_date_time,fuel_gallons,tail_number
LAS,SNA,6/16/23,280,N10XG
SNA,LAS,6/16/23,300,N10XG
LAS,LAX,6/23/23,280,N10XG
LAX,LAS,6/23/23,240,N10XG
LAS,FXE,7/17/23,1500,N10XG
FXE,LAS,7/20/23,1700,N10XG
LAS,BET,7/24/23,1900,N10XG
BET,NRT,7/25/23,2200,N10XG
LAS,MRY,8/14/23,440,N10XG
LAS,SNA,8/30/23,280,N10XG
LAS,SAN,9/5/23,350,N10XG
SAN,LAS,9/6/23,440,N10XG
SAN,MOZ,9/16/23,2900,N10XG
BOB,SAN,9/20/23,3100,N10XG
MOZ,BOB,9/20/23,240,N10XG
SAN,LAS,9/21/23,340,N10XG
LAS,VNY,10/1/23,270,N10XG
SNA,LAS,10/15/23,470,N10XG
LAS,LAX,11/3/23,340,N10XG
LAS,LAX,1/2/24,250,N10XG
LAX,LAS,1/2/24,290,N10XG
BWI,CLD,3/13/24,3200,N10XG
CLD,SNA,3/15/24,340,N10XG
SNA,HSH,3/15/24,430,N10XG
HSH,HHR,3/17/24,360,N10XG
HSH,NTK,3/17/24,380,N10XG
OKK,SBN,3/17/24,420,N10XG
NTK,BTY,3/28/24,350,N10XG
BTY,SNA,4/12/24,300,N10XG
SNA,LAS,4/12/24,450,N10XG
LAS,SNA,4/15/24,360,N10XG
SNA,LAS,4/15/24,490,N10XG
HHR,LAS,4/16/24,500,N10XG
LSV,HHR,4/16/24,350,N10XG
BTY,LAS,4/23/24,490,N10XG
LAS,BTY,4/23/24,3900,N10XG
LAS,MEV,4/25/24,330,N10XG
MEV,LAS,4/25/24,680,N10XG
LAS,BTR,5/9/24,960,N10XG
BTR,LAS,5/10/24,1400,N10XG
LAS,BTR,5/12/24,1100,N10XG
BTR,LAS,5/13/24,1100,N10XG
LAS,YVR,5/16/24,840,N10XG
YVR,YYZ,5/16/24,650,N10XG
LAS,LAX,5/19/24,350,N10XG
LAX,LAS,5/19/24,430,N10XG
LAS,LAX,5/21/24,500,N10XG
LAS,YVR,5/21/24,890,N10XG
LAX,LAS,5/21/24,290,N10XG
YVR,YYZ,5/21/24,910,N10XG
LAS,LAX,5/22/24,450,N10XG
LAX,LAS,5/23/24,340,N10XG
BUR,OAK,6/13/23,520,N138GL
OAK,BUR,6/14/23,500,N138GL
BUR,MDW,6/15/23,1300,N138GL
MDW,YHU,6/18/23,590,N138GL
YHU,MDW,6/22/23,630,N138GL
MDW,MRS,7/3/23,3400,N138GL
MRS,FRA,7/6/23,600,N138GL
FRA,MRS,7/7/23,450,N138GL
MRS,TEB,7/16/23,3100,N138GL
TEB,MRS,7/18/23,3000,N138GL
MRS,MDW,7/23/23,3200,N138GL
MDW,RFD,8/7/23,250,N138GL
RFD,ATL,8/11/23,740,N138GL
ATL,FLD,8/13/23,600,N138GL
FLD,SWF,8/16/23,600,N138GL
SWF,MDW,8/17/23,550,N138GL
MDW,ATW,8/31/23,500,N138GL
ATW,OAK,10/19/23,1300,N138GL
APA,OVE,10/21/23,700,N138GL
OAK,APA,10/22/23,660,N138GL
IAD,PDK,10/23/23,540,N138GL
OAK,VEL,10/23/23,560,N138GL
OVE,OAK,10/23/23,450,N138GL
PDK,IAD,10/23/23,400,N138GL
VEL,IAD,10/23/23,1200,N138GL
IAD,MKE,10/25/23,790,N138GL
MKE,MDW,10/26/23,160,N138GL
MDW,OAK,10/27/23,1300,N138GL
BUR,UKI,11/1/23,470,N138GL
OAK,BUR,11/2/23,380,N138GL
UKI,OAK,11/4/23,190,N138GL
OAK,MDW,11/5/23,1400,N138GL
MHR,UKI,11/8/23,490,N138GL
NOT,PVF,11/8/23,190,N138GL
UKI,NOT,11/8/23,280,N138GL
PVF,BFI,11/11/23,300,N138GL
EWR,HOU,11/14/23,890,N138GL
SWF,MHR,11/14/23,2000,N138GL
BFI,OAK,11/16/23,480,N138GL
OAK,GYR,11/16/23,550,N138GL
TEB,BUR,11/21/23,1900,N138GL
GYR,TEB,11/22/23,1500,N138GL
BUR,MOD,11/25/23,280,N138GL
MOD,BUR,11/25/23,380,N138GL
BUR,MDW,11/26/23,1300,N138GL
MDW,IAD,11/30/23,610,N138GL
IAD,MHR,12/1/23,1700,N138GL
MHR,NOT,12/3/23,300,N138GL
NOT,MDW,12/5/23,1500,N138GL
MDW,OAK,12/8/23,1400,N138GL
BUR,MDW,12/12/23,1300,N138GL
OAK,BUR,12/12/23,400,N138GL
MDW,OAK,12/15/23,1400,N138GL
OAK,UES,12/15/23,1500,N138GL
UES,MDW,12/15/23,190,N138GL
MDW,AHN,12/17/23,680,N138GL
AHN,DPA,12/21/23,660,N138GL
DPA,SKB,12/22/23,1700,N138GL
SKB,SKB,12/22/23,1000,N138GL
SKB,SKB,1/2/24,1000,N138GL
SFO,LTN,1/8/24,4200,N138GL
