dep_airport,arr_airport,dep_date_time,fuel_gallons,tail_number,celebrity_id,celebrity_name
LAS,SNA,6/16/23,280,N10XG,15,Google
SNA,LAS,6/16/23,300,N10XG,15,Google
LAS,LAX,6/23/23,280,N10XG,15,Google
LAX,LAS,6/23/23,240,N10XG,15,Google
LAS,FXE,7/17/23,1500,N10XG,15,Google
FXE,LAS,7/20/23,1700,N10XG,15,Google
LAS,BET,7/24/23,1900,N10XG,15,Google
BET,NRT,7/25/23,2200,N10XG,15,Google
LAS,MRY,8/14/23,440,N10XG,15,Google
LAS,SNA,8/30/23,280,N10XG,15,Google
LAS,SAN,9/5/23,350,N10XG,15,Google
SAN,LAS,9/6/23,440,N10XG,15,Google
SAN,MOZ,9/16/23,2900,N10XG,15,Google
BOB,SAN,9/20/23,3100,N10XG,15,Google
MOZ,BOB,9/20/23,240,N10XG,15,Google
SAN,LAS,9/21/23,340,N10XG,15,Google
LAS,VNY,10/1/23,270,N10XG,15,Google
SNA,LAS,10/15/23,470,N10XG,15,Google
LAS,LAX,11/3/23,340,N10XG,15,Google
LAS,LAX,1/2/24,250,N10XG,15,Google
LAX,LAS,1/2/24,290,N10XG,15,Google
BWI,CLD,3/13/24,3200,N10XG,15,Google
CLD,SNA,3/15/24,340,N10XG,15,Google
SNA,HSH,3/15/24,430,N10XG,15,Google
HSH,HHR,3/17/24,360,N10XG,15,Google
HSH,NTK,3/17/24,380,N10XG,15,Google
OKK,SBN,3/17/24,420,N10XG,15,Google
NTK,BTY,3/28/24,350,N10XG,15,Google
BTY,SNA,4/12/24,300,N10XG,15,Google
SNA,LAS,4/12/24,450,N10XG,15,Google
LAS,SNA,4/15/24,360,N10XG,15,Google
SNA,LAS,4/15/24,490,N10XG,15,Google
HHR,LAS,4/16/24,500,N10XG,15,Google
LSV,HHR,4/16/24,350,N10XG,15,Google
BTY,LAS,4/23/24,490,N10XG,15,Google
LAS,BTY,4/23/24,3900,N10XG,15,Google
LAS,MEV,4/25/24,330,N10XG,15,Google
MEV,LAS,4/25/24,680,N10XG,15,Google
LAS,BTR,5/9/24,960,N10XG,15,Google
BTR,LAS,5/10/24,1400,N10XG,15,Google
LAS,BTR,5/12/24,1100,N10XG,15,Google
BTR,LAS,5/13/24,1100,N10XG,15,Google
LAS,YVR,5/16/24,840,N10XG,15,Google
YVR,YYZ,5/16/24,650,N10XG,15,Google
LAS,LAX,5/19/24,350,N10XG,15,Google
LAX,LAS,5/19/24,430,N10XG,15,Google
LAS,LAX,5/21/24,500,N10XG,15,Google
LAS,YVR,5/21/24,890,N10XG,15,Google
LAX,LAS,5/21/24,290,N10XG,15,Google
YVR,YYZ,5/21/24,910,N10XG,15,Google
LAS,LAX,5/22/24,450,N10XG,15,Google
LAX,LAS,5/23/24,340,N10XG,15,Google
BUR,OAK,6/13/23,520,N138GL,14,George Lucas
OAK,BUR,6/14/23,500,N138GL,14,George Lucas
BUR,MDW,6/15/23,1300,N138GL,14,George Lucas
MDW,YHU,6/18/23,590,N138GL,14,George Lucas
YHU,MDW,6/22/23,630,N138GL,14,George Lucas
MDW,MRS,7/3/23,3400,N138GL,14,George Lucas
MRS,FRA,7/6/23,600,N138GL,14,George Lucas
FRA,MRS,7/7/23,450,N138GL,14,George Lucas
MRS,TEB,7/16/23,3100,N138GL,14,George Lucas
TEB,MRS,7/18/23,3000,N138GL,14,George Lucas
MRS,MDW,7/23/23,3200,N138GL,14,George Lucas
MDW,RFD,8/7/23,250,N138GL,14,George Lucas
RFD,ATL,8/11/23,740,N138GL,14,George Lucas
ATL,FLD,8/13/23,600,N138GL,14,George Lucas
FLD,SWF,8/16/23,600,N138GL,14,George Lucas
SWF,MDW,8/17/23,550,N138GL,14,George Lucas
MDW,ATW,8/31/23,500,N138GL,14,George Lucas
ATW,OAK,10/19/23,1300,N138GL,14,George Lucas
APA,OVE,10/21/23,700,N138GL,14,George Lucas
OAK,APA,10/22/23,660,N138GL,14,George Lucas
IAD,PDK,10/23/23,540,N138GL,14,George Lucas
OAK,VEL,10/23/23,560,N138GL,14,George Lucas
OVE,OAK,10/23/23,450,N138GL,14,George Lucas
PDK,IAD,10/23/23,400,N138GL,14,George Lucas
VEL,IAD,10/23/23,1200,N138GL,14,George Lucas
IAD,MKE,10/25/23,790,N138GL,14,George Lucas
MKE,MDW,10/26/23,160,N138GL,14,George Lucas
MDW,OAK,10/27/23,1300,N138GL,14,George Lucas
BUR,UKI,11/1/23,470,N138GL,14,George Lucas
OAK,BUR,11/2/23,380,N138GL,14,George Lucas
UKI,OAK,11/4/23,190,N138GL,14,George Lucas
OAK,MDW,11/5/23,1400,N138GL,14,George Lucas
MHR,UKI,11/8/23,490,N138GL,14,George Lucas
NOT,PVF,11/8/23,190,N138GL,14,George Lucas
UKI,NOT,11/8/23,280,N138GL,14,George Lucas
PVF,BFI,11/11/23,300,N138GL,14,George Lucas
EWR,HOU,11/14/23,890,N138GL,14,George Lucas
SWF,MHR,11/14/23,2000,N138GL,14,George Lucas
BFI,OAK,11/16/23,480,N138GL,14,George Lucas
OAK,GYR,11/16/23,550,N138GL,14,George Lucas
TEB,BUR,11/21/23,1900,N138GL,14,George Lucas
GYR,TEB,11/22/23,1500,N138GL,14,George Lucas
BUR,MOD,11/25/23,280,N138GL,14,George Lucas
MOD,BUR,11/25/23,380,N138GL,14,George Lucas
BUR,MDW,11/26/23,1300,N138GL,14,George Lucas
MDW,IAD,11/30/23,610,N138GL,14,George Lucas
IAD,MHR,12/1/23,1700,N138GL,14,George Lucas
MHR,NOT,12/3/23,300,N138GL,14,George Lucas
NOT,MDW,12/5/23,1500,N138GL,14,George Lucas
MDW,OAK,12/8/23,1400,N138GL,14,George Lucas
BUR,MDW,12/12/23,1300,N138GL,14,George Lucas
OAK,BUR,12/12/23,400,N138GL,14,George Lucas
MDW,OAK,12/15/23,1400,N138GL,14,George Lucas
OAK,UES,12/15/23,1500,N138GL,14,George Lucas
UES,MDW,12/15/23,190,N138GL,14,George Lucas
MDW,AHN,12/17/23,680,N138GL,14,George Lucas
AHN,DPA,12/21/23,660,N138GL,14,George Lucas
DPA,SKB,12/22/23,1700,N138GL,14,George Lucas
SKB,SKB,12/22/23,1000,N138GL,14,George Lucas
SKB,SKB,1/2/24,1000,N138GL,14,George Lucas
SFO,LTN,1/8/24,4200,N138GL,14,George Lucas
LTN,UES,1/9/24,3000,N138GL,14,George Lucas
UES,OAK,1/10/24,1500,N138GL,14,George Lucas
BUR,OAK,1/12/24,380,N138GL,14,George Lucas
OAK,BUR,1/12/24,320,N138GL,14,George Lucas
BUR,OAK,1/16/24,470,N138GL,14,George Lucas
OAK,TEB,1/16/24,2100,N138GL,14,George Lucas
TEB,OAK,1/18/24,2100,N138GL,14,George Lucas
VNY,TEB,1/24/24,1800,N138GL,14,George Lucas
TEB,HDN,1/25/24,1300,N138GL,14,George Lucas
HDN,LVK,1/27/24,580,N138GL,14,George Lucas
