Airport,Name,Latitude,Longitude
CLT,Charlotte Douglas International Airport,35.214,-80.9431
CNO,Chino Airport,33.9747,-117.637
DTW,Detroit Metro Wayne County,42.2125,-83.3533
HND,Haneda Airport,35.5533,139.781
LBG,Le Bourget Airport,48.9623,2.4384
LFQJ,Maubeuge-Elesmes Airport,50.309167,4.031389
OPF,Miami-Opa Locka Executive Airport,25.907,-80.2784
PHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
SIN,Singapore Changi Airport,1.3450,103.9832
SNN,Shannon Airport,52.702,-8.92482
TEB,Teterboro Airport,40.8501,-74.0608
